 ,1,2,4,6,8,12,16,24,32,48,64,80,96
rs:384/0-1,0,0,0,0,0,0,0,0,0,0,0,0,0
rs:384/1-1,0,0,0,0,0,0,0,0,0,0,0,0,0
rs:384/2-1,0,0,0,0,0,0,0,0,0,0,0,0,0
flpc:384/1-1,0,0,0,0,0,0,0,0,0,0,0,0,0
flpc:384/2-1,0,0,0,0,0,0,0,0,0,0,0,0,0
rs:384/0-8,0,0,0,0,0,0,0,0,0,0,0,179951,3831485
rs:384/1-8,0,0,0,0,0,0,0,0,0,0,0,182575,3837934
rs:384/2-8,0,0,0,0,0,0,0,0,0,0,0,172730,3782533
flpc:384/1-8,0,0,0,0,0,0,0,0,0,0,27,794699,5313409
flpc:384/2-8,0,0,0,0,0,0,0,0,0,0,0,252783,3815971
rs:384/0-16,0,0,0,0,0,0,0,0,0,6662737,23425221,37551427,49776127
rs:384/1-16,0,0,0,0,0,0,0,0,0,6934373,23411086,36876607,49709513
rs:384/2-16,0,0,0,0,0,0,0,0,0,6642139,24117083,37585783,49702390
flpc:384/1-16,0,0,0,0,0,0,0,0,5493,5116920,12841582,20044959,27978194
flpc:384/2-16,0,0,0,0,0,0,0,0,32,4545452,11706025,18392522,24568829
rs:1536/0-1,0,0,0,0,0,0,0,0,0,0,0,0,0
rs:1536/1-1,0,0,0,0,0,0,0,0,0,0,0,0,0
rs:1536/2-1,0,0,0,0,0,0,0,0,0,0,0,0,0
flpc:1536/1-1,0,0,0,0,0,0,0,0,0,0,0,0,0
flpc:1536/2-1,0,0,0,0,0,0,0,0,0,0,0,0,0
rs:1536/0-8,0,0,0,0,0,0,0,0,0,0,0,0,0
rs:1536/1-8,0,0,0,0,0,0,0,0,0,0,0,0,0
rs:1536/2-8,0,0,0,0,0,0,0,0,0,0,0,0,0
flpc:1536/1-8,0,0,0,0,0,0,0,0,0,0,0,0,0
flpc:1536/2-8,0,0,0,0,0,0,0,0,0,0,0,0,0
fl:384/0-1,0,0,0,0,0,0,0,0,0,0,0,0,0
op:384/0-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sapc:384/0-1,0,0,0,0,0,0,0,0,0,0,0,0,0
saca:384/0-1,0,0,0,0,0,0,0,0,0,0,0,0,0
fl:384/0-8,0,0,0,0,0,0,0,0,0,0,0,46,260299
op:384/0-8,0,0,0,0,0,0,0,0,0,0,0,12479,8147975
sapc:384/0-8,0,0,0,0,0,0,0,0,0,0,0,233483,4329312
saca:384/0-8,0,0,0,0,0,0,0,0,0,0,0,89210,2037359
fl:384/0-16,0,0,0,0,0,0,0,0,0,749928,2670236,4443537,5951429
op:384/0-16,0,0,0,0,0,0,0,0,0,9161125,27965198,44027595,57965791
sapc:384/0-16,0,0,0,0,0,0,0,0,5,6960868,17775610,26437538,34181240
saca:384/0-16,0,0,0,0,0,0,0,0,0,3534200,23384968,37668496,46375560
fl:1536/0-1,0,0,0,0,0,0,0,0,0,0,0,0,0
op:1536/0-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sapc:1536/0-1,0,0,0,0,0,0,0,0,0,0,0,0,0
saca:1536/0-1,0,0,0,0,0,0,0,0,0,0,0,0,0
fl:1536/0-8,0,0,0,0,0,0,0,0,0,0,0,0,0
op:1536/0-8,0,0,0,0,0,0,0,0,0,0,0,0,0
sapc:1536/0-8,0,0,0,0,0,0,0,0,0,0,0,0,0
saca:1536/0-8,0,0,0,0,0,0,0,0,0,0,0,0,0
