data,1,2,4,6,8,12,16,24,32,48,64,96,128,192
fl:96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fl:128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fl:192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fl:256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fl:384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op:96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op:128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op:192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op:256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op:384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op+:96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op+:128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op+:192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op+:256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
op+:384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flpc:96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flpc:128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flpc:192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flpc:256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flpc:384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sa:96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sa:128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sa:192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sa:256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sa:384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sapc:96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sapc:128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sapc:192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sapc:256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sapc:384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rs:96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rs:128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rs:192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rs:256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rs:384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rs+:96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rs+:128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rs+:192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rs+:256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rs+:384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pc:96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pc:128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pc:192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pc:256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pc:384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
