data,1,2,4,6,8,12,16,24,32,48,64,96,128,192
fl:96,9883,19757,39429,59203,78718,117734,157416,235476,313921,470275,625658,928812,1251930,1885395
fl:128,9865,19743,39429,59193,78796,118206,157393,234741,313804,467949,625991,937860,1250979,1888769
fl:192,9885,19752,39469,58933,78787,118015,157523,235614,311818,469522,623331,937419,1251920,1888017
fl:256,9878,19740,39481,59172,78899,118175,157531,235530,313470,469835,625263,913033,1251181,1899619
fl:384,9883,19706,39495,58720,78843,118099,157355,235690,313695,469916,625719,923438,1250294,1882233
flpc:96,9862,19743,39480,59198,78846,118189,157303,235963,314588,469742,625654,937125,1250921,1889084
flpc:128,9881,19755,39467,58937,78758,118037,157280,235573,216304,469850,625791,937284,1251733,1888136
flpc:192,9865,19689,39473,59067,78520,118062,157430,235677,313965,469908,549081,937080,1251462,1887779
flpc:256,9884,19738,39422,59118,78507,118047,157485,235507,313453,463000,439048,937106,1250596,1896982
flpc:384,9880,19754,39464,59161,78858,117793,157407,235730,313777,469798,625749,936383,1252146,1892521
op:96,9859,19740,39474,59217,78961,118347,156902,235751,313540,469717,625728,937203,1234714,1874186
op:128,9882,19730,39532,59217,78981,118246,157618,235928,313904,470187,625074,924134,1248971,1879640
op:192,9879,19746,39434,59042,78842,117997,156773,235771,313886,468376,625838,937481,1251010,1896413
op:256,9882,19730,39485,59054,78731,118017,157428,235712,313564,470180,448734,935295,1217820,1892059
op:384,9878,19748,39451,59186,78724,118055,156484,235669,313492,469702,625452,937207,1251518,1889767
op+:96,9848,19691,39477,59127,78803,118226,157365,235806,314109,467892,623891,936657,1248609,1893814
op+:128,9885,19767,39508,59114,78908,118123,157271,235876,313588,469642,625671,936985,1250911,1894846
op+:192,9885,19751,39496,59163,78723,117817,157271,235701,313902,468609,624638,913395,1252387,1895916
op+:256,9882,19763,39395,59110,78709,118235,156251,235808,313297,470550,626181,570243,1249789,1881455
op+:384,9882,19764,39515,59050,78847,118204,157248,235666,313732,470147,626077,936957,1245972,1891853
sa:96,9871,19755,39446,59158,78641,118367,157613,236071,314008,470716,625361,937588,1251049,1894109
sa:128,9881,19754,39494,59138,78734,117886,157281,235596,313756,469853,625679,937520,1251800,1885704
sa:192,9879,19743,39456,59194,78864,118145,157501,235901,313996,469667,625973,582594,1251369,1895638
sa:256,9878,19754,39488,59041,78835,118106,157038,235767,313826,469935,625898,937472,1251458,1882745
sa:384,9888,19774,39526,59277,78966,118319,157733,235832,310686,469933,625752,937227,1251447,1895289
sapc:96,9879,19746,39456,59224,78454,118187,157430,235622,313791,225864,625799,936933,1249663,1887149
sapc:128,9879,19709,39431,59157,78772,118143,157337,235506,313409,469787,622254,937436,1252055,1883620
sapc:192,9881,19724,39500,59236,78885,118080,157487,235132,313139,469728,625561,936782,1251035,1895787
sapc:256,9882,19760,39411,59116,78676,118151,156369,235641,313616,469784,625254,937338,1251151,1897722
sapc:384,9877,19739,39438,59011,78844,118113,157333,235686,312636,469741,625739,937411,1250162,1886507
rs:96,9891,19760,39454,59155,78733,118124,157535,235856,314009,470207,625308,937290,1247319,1892761
rs:128,9879,19750,39474,59102,78723,118147,157298,235462,313476,469811,625402,937586,1251344,1888878
rs:192,9881,19746,39459,59172,78708,118201,156853,235063,313629,469779,623929,937534,1251115,1871282
rs:256,9878,19721,39428,59196,78883,118140,157195,234799,313592,469929,625341,937712,1250936,1890582
rs:384,9882,19752,39460,59190,78724,118332,157083,117699,313837,469979,625185,929740,1247272,1883024
rs+:96,9875,19741,39507,59214,78899,118243,157765,236426,313537,469832,623944,937721,1251161,1875426
rs+:128,9879,19742,39408,59187,78832,118033,157007,235557,313910,469980,625664,937272,1251555,1862963
rs+:192,9882,19752,39351,59150,78793,118139,156893,235364,314024,470367,625731,936607,1250861,1887608
rs+:256,9878,19751,39480,59187,78806,118127,157213,235769,313842,469996,625260,937582,1252001,1869650
rs+:384,9877,19758,39485,59276,78946,118238,157412,109766,313819,470245,626457,923459,1249325,1881685
pc:96,9881,19763,39507,59151,78945,118162,157227,235756,313948,468845,623960,937271,1253097,1887418
pc:128,9885,19761,39450,59228,78748,117968,157455,235659,313796,469878,463630,936381,1239555,1888560
pc:192,9877,19742,39479,59080,78715,117547,157249,235501,313868,470287,624910,937339,1250959,1890991
pc:256,9882,19756,39415,59152,78796,118158,157280,235708,313742,469559,623894,913099,1251942,1889710
pc:384,9877,19743,39447,59089,78908,55021,157277,235136,313491,469840,625228,935371,1250495,1896766
