data,1,2,4,6,8,12,16,24,32,48,64,96,128,192
fl:96,9870,19716,39455,59184,78935,118358,157633,236610,315432,472787,630097,943528,1258462,1876955
fl:128,9872,19735,39464,59180,78904,118424,157873,236640,315446,472934,629994,944688,1257745,1874181
fl:192,9869,19734,39436,59196,78909,118401,157785,236651,315485,473088,630371,944291,1258475,1879662
fl:256,9874,19745,39472,59174,78954,118350,157803,236589,315433,472766,630086,944653,1258398,1880442
fl:384,9846,19745,39426,59209,78961,118336,157872,236818,315309,472674,630306,944325,1258289,1880551
op:96,9874,19745,39468,59196,78930,118327,157702,236651,315395,473025,630398,944467,1257555,1884786
op:128,9868,19631,39481,59203,78924,118331,157682,236634,315512,472721,630388,944594,1258597,1885343
op:192,9845,19738,39468,59148,78903,118408,157777,236551,315418,472946,630203,944506,1258710,1887136
op:256,9875,19736,39427,59142,78930,118379,157780,236707,315525,472938,630358,944607,1258563,1886563
op:384,9866,19732,39458,59182,78910,118316,157810,236549,315360,472928,630445,944695,1258609,1886342
op+:96,9868,19714,39475,59196,78959,118329,157706,236677,315605,472970,630584,944085,1256951,1884020
op+:128,9874,19740,39488,59177,78887,118430,157770,236770,315512,472854,630399,944660,1258944,1885544
op+:192,9874,19735,39443,59187,78909,118331,157776,236711,315392,472667,630381,944091,1258988,1885680
op+:256,9832,19743,39474,59232,78901,118412,157633,236758,315491,472857,630419,944631,1258746,1886387
op+:384,9859,19738,39363,59162,78935,118375,157778,236567,315251,472501,630114,944276,1257918,1885907
flpc:96,9854,19722,39483,59223,78936,118395,157871,236559,315611,473133,630500,944776,1257286,1883537
flpc:128,9865,19728,39424,59025,78881,118254,157565,236555,315479,472678,630142,944618,1258567,1883871
flpc:192,9856,19721,39480,59205,78816,118131,157630,236486,315215,472619,630233,944348,1258846,1885386
flpc:256,9873,19744,39449,59221,78933,118362,157826,236516,313765,472945,630364,944463,1258893,1886645
flpc:384,9870,19744,39480,59176,78976,118404,157764,236615,315652,472944,630456,944674,1259010,1886425
sa:96,9866,19735,39493,59161,78959,117789,156612,235847,315420,472774,630562,944398,1257990,1884940
sa:128,9876,19741,39485,59236,78937,118400,157827,236607,315738,473284,629295,944861,1258519,1885438
sa:192,9861,19741,39453,59235,78918,118381,157917,236714,315470,473052,630182,944741,1259218,1887943
sa:256,9866,19744,39479,59225,78916,118436,157828,236745,315520,473136,630582,944959,1258838,1886491
sa:384,9876,19747,39490,59223,78953,118445,157814,236649,315601,473057,630606,944985,1259089,1886582
sapc:96,9874,19732,39471,59209,78970,118377,157774,236653,315617,472896,630328,944384,1257088,1885044
sapc:128,9870,19740,39438,59215,78918,118371,157818,236691,315515,472813,630186,944171,1257994,1885733
sapc:192,9860,19731,39475,59219,78921,118387,157715,236620,315343,472946,629840,944437,1258680,1886256
sapc:256,9872,19735,39491,59221,78952,118420,157822,236520,315371,473044,630248,944988,1259150,1886867
sapc:384,9867,19715,39471,59188,78904,118416,157771,236638,315391,472869,630296,944781,1258874,1887105
rs:96,9865,19728,39465,59198,78857,118332,157877,236610,315525,472846,630336,944584,1258308,1884455
rs:128,9877,19709,39488,59190,78943,118171,157725,236568,315169,472858,630016,944532,1258639,1884896
rs:192,9850,19735,39477,59215,78877,118368,157673,236504,315256,472767,630109,944453,1258542,1885998
rs:256,9879,19733,39463,59180,78984,118410,157732,236648,315548,472740,630169,944565,1258340,1886046
rs:384,9869,19742,39418,59192,78923,118354,157798,236492,315292,473080,630372,944860,1258986,1886345
rs+:96,9873,19737,39455,59186,78911,118312,157665,236484,315404,472777,629998,944393,1257840,1884208
rs+:128,9857,19713,39456,59155,78885,118266,157818,236559,315313,472621,630070,944656,1259038,1885326
rs+:192,9873,19768,39491,59200,78897,118273,157764,236483,315380,472779,630080,944174,1258102,1886283
rs+:256,9942,19761,39427,59124,78850,118343,157578,236557,315330,472635,630139,944118,1258820,1886598
rs+:384,9856,19743,39393,59171,78865,118293,157811,236489,315504,472824,630043,944418,1258219,1885535
pc:96,9865,19736,39497,59196,78893,118384,157844,236570,315406,472986,630427,944808,1256253,1879597
pc:128,9852,19723,39469,59161,78935,118360,157776,236778,315385,472998,630367,944924,1258851,1882803
pc:192,9872,19730,39445,59202,78968,118354,157754,236685,315583,473074,630640,944863,1259272,1887354
pc:256,9872,19716,39456,59197,78938,118344,157825,236676,315176,472830,630215,944256,1258926,1885088
pc:384,9864,19710,39461,59136,78847,118320,157654,236417,315283,472949,630297,944378,1258648,1886638
